고객ID,나이,멤버십등급,월평균구매금액,구매횟수,리뷰점수,이탈여부,멤버십등급_Encoder,거주지역_경기,거주지역_기타,거주지역_대구,거주지역_부산,거주지역_서울,성별_남,성별_여,가입경로_광고,가입경로_앱,가입경로_웹,가입경로_지인추천,쿠폰사용여부_N,쿠폰사용여부_Y,Buy
C0129,47.0,브론즈,-0.4781630516338411,-0.6302889936605877,3.1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.2778690990907789
C0130,51.0,실버,-0.09806747507328557,0.039756003143722386,3.5,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,-0.20210800861059217
C0131,47.0,실버,-0.1257879272484118,0.26310433541182576,4.0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.27840668196230817
C0132,43.19565217391305,골드,0.15227892970451984,0.7098009999480325,3.6,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.2297692858084342
C0133,22.0,실버,-0.26646672161176305,0.4864526676799291,3.3,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.3989138446182538
C0134,43.19565217391305,실버,-0.2846997990096741,0.039756003143722386,3.8,1,3,1,0,0,0,0,1,0,0,0,0,1,1,0,-0.32492643691058193
C0135,59.0,VIP,0.7337778601272097,2.049890993556653,4.9,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,-0.23077912570957168
C0136,33.0,실버,-0.19154491944657626,-0.6302889936605877,4.2,1,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0.023917753476233088
C0137,49.0,실버,-0.14247312254084477,0.7098009999480325,3.4,0,3,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.3708380334895635
C0138,19.0,VIP,0.6958191423061939,2.049890993556653,4.9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-0.24253430538043777
C0139,36.0,브론즈,-0.40355359901612126,-0.6302889936605877,3.0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,-0.1993110828710021
C0140,40.0,골드,0.17373338433801144,0.039756003143722386,4.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.02324213125667844
C0141,43.19565217391305,골드,0.2517077273639235,0.26310433541182576,3.6,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.05758785124183427
C0142,43.19565217391305,브론즈,-0.39767144463145093,-0.4069406613924843,3.7366315789473683,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,-0.2847411132692139
C0143,32.0,실버,-0.3044937249416227,0.039756003143722386,3.4,1,3,0,0,0,0,1,0,1,0,0,0,1,0,1,-0.33795236308228266
C0144,39.0,브론즈,-0.7003693621906302,-1.5236823227330012,4.1,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0.4122579023516806
C0145,69.0,브론즈,-0.3216660858416948,-0.4069406613924843,3.5,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.21805128153984113
C0146,62.0,실버,-0.18458981391401721,-0.4069406613924843,3.3,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,-0.09777563710490364
C0147,19.0,브론즈,-0.6897868767335029,-0.18359232912438098,3.1,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,-0.5698829513226087
C0148,30.0,골드,0.08239046941660416,0.7098009999480325,4.4,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,-0.2632180014155827
C0149,60.0,VIP,0.7681331445024683,1.8265426612885494,4.9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.1874699517381435
C0150,21.0,골드,0.1314444853537198,1.156497664484239,4.1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,-0.317143428888119
C0151,62.0,브론즈,-0.5539242812660835,-1.3003339904648978,3.3,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0.22018819981715332
C0152,32.0,브론즈,-0.33777977980093066,-1.3003339904648978,3.6,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0.7891470467247871
C0153,65.0,브론즈,-0.6143997272343347,-0.853637325928691,3.4,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,-0.340930165945586
C0154,33.0,브론즈,-0.586249964972857,-0.4069406613924843,2.8,1,2,0,0,0,0,1,0,1,0,1,0,0,0,1,-0.4502066802975939
C0155,40.0,VIP,0.704803321218027,1.156497664484239,4.2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.08495005831614065
C0156,52.0,실버,-0.16947210836318788,-0.853637325928691,3.8,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0.24466304432420957
C0157,24.0,브론즈,-0.4399841136551184,-0.4069406613924843,3.8,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,-0.3218677688385229
C0158,46.0,골드,0.2660066048042844,0.4864526676799291,4.7,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,-0.11858711157333349
C0159,44.0,브론즈,-0.4736286766851381,-1.0769856581967945,3.6,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0.040081112695296066
C0160,58.0,브론즈,-0.44077042562913193,-1.5236823227330012,3.4,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1.778946488952535
C0161,69.0,브론즈,-0.5253543782008069,-1.0769856581967945,3.6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,-0.050690864046655605
C0162,52.0,실버,-0.2065055080943136,-0.18359232912438098,3.4,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.20641286749441712
C0163,39.0,골드,0.17519566808132592,1.156497664484239,4.0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.29942549389071094
C0164,39.0,브론즈,-0.47176212768608367,-1.3003339904648978,3.0,1,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0.43646427366333995
C0165,39.0,VIP,0.7682083414282992,2.4965876580928597,4.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,-0.27514205180132034
C0166,43.19565217391305,골드,0.2257715351007327,0.4864526676799291,4.2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,-0.13976932875545486
C0167,34.0,골드,0.1680414258015206,0.4864526676799291,4.2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.17016201160982475
C0168,26.0,브론즈,-0.587489768085776,-0.18359232912438098,3.6,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,-0.4929465307023252
C0169,35.0,브론즈,-0.4884199707776644,-0.853637325928691,3.5,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,-0.17512142114425797
C0170,43.19565217391305,골드,0.15987957784563428,0.4864526676799291,4.2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.17445891073993303
C0171,23.0,브론즈,-0.47423849126787576,-0.853637325928691,3.5,1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,-0.15645641191515566
C0172,22.0,실버,0.035726670935800446,0.4864526676799291,3.7,0,3,0,0,1,0,0,0,1,0,0,0,1,1,0,-0.23982064261543773
C0173,58.0,골드,0.10386395151144759,1.3798459967523424,4.3,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.3579231448640682
C0174,43.19565217391305,브론즈,-0.44835151710646265,-1.3003339904648978,3.7366315789473683,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0.49808820538723925
C0175,54.0,골드,0.28377143262816296,0.7098009999480325,4.2,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.1668367885600209
C0176,42.0,VIP,0.69199193801546,1.8265426612885494,4.8,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,-0.21252333775499102
C0177,55.0,골드,0.42719971398318096,0.26310433541182576,3.8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0.04506746362761323
C0178,26.0,실버,-0.2563046886323124,-0.18359232912438098,3.7,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.24386623006804295
C0179,64.0,골드,0.19966434007427744,0.7098009999480325,3.9,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,-0.20709056161195752
C0180,44.0,실버,-0.3038473189968391,0.26310433541182576,3.5,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,-0.38256381914860127
C0181,43.19565217391305,골드,6.630513977636954,1.156497664484239,3.7,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,2.314787495695896
C0182,25.0,골드,0.19117250050898568,0.4864526676799291,4.6,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.15798439015373092
